Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Alat Olahraga",Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri; Kado atau hadiah,Bermain musik; Olahraga,Alat Musik & kesenian; Mainan,Netral,Setuju,Setuju,Netral
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Perlengkapan Seni/Kreatif; Buku Anak",Toko alat tulis lainnya,Menambah pengetahuan; Kado atau hadiah,Belanja online/offline; Bermain game (offline/online),"Mainan; Alat Musik & kesenian; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Sangat Tidak Setuju,Netral,Sangat Setuju
Alat Tulis Umum (Kantor/Sekolah); Komik/Novel Grafis,Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi; Membaca buku atau majalah ,Alat Musik & kesenian; Alat Olahraga,Tidak Setuju,Setuju,Netral,Setuju
Alat Tulis Umum (Kantor/Sekolah); Perlengkapan Seni/Kreatif; Alat Olahraga,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri; Hiburan atau relaksasi",Travelling; Membaca buku atau majalah ,Alat Tulis kantor atau sekolah,Setuju,Setuju,Netral,Sangat Tidak Setuju
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia.com,Hiburan atau relaksasi,"Olahraga; Menulis (diari, blog, atau lainnya)",Alat Olahraga; Mainan,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Setuju
Alat Olahraga; Alat Tulis Umum (Kantor/Sekolah); Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas; Kado atau hadiah,"Menulis (diari, blog, atau lainnya); Travelling; Bermain musik",Kesehatan dan Kecantikan; Mainan,Sangat Setuju,Netral,Netral,Sangat Tidak Setuju
Buku Anak,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas,Olahraga; Travelling,"Buku fiksi (novel, komik, buku anak)",Setuju,Sangat Tidak Setuju,Netral,Setuju
Alat Olahraga,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri; Kado atau hadiah; Menambah pengetahuan,Melukis atau menggambar ,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Olahraga",Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Netral
Novel Fiksi,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online); Travelling; Membaca buku atau majalah ,"Alat Tulis kantor atau sekolah; Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Setuju,Setuju,Netral
"Mainan/Collectible item; Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Hiburan atau relaksasi; Menambah pengetahuan",Melukis atau menggambar ; Olahraga,Alat Tulis kantor atau sekolah; Mainan,Tidak Setuju,Tidak Setuju,Setuju,Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Komik/Novel Grafis; Jurnal/Perencana (Planner)",Website Gramedia.com,Kado atau hadiah,"Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian; Kesehatan dan Kecantikan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Tidak Setuju,Netral,Netral
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Kado atau hadiah; Hiburan atau relaksasi",Bermain game (offline/online); Melukis atau menggambar ,Alat Olahraga; Kesehatan dan Kecantikan,Setuju,Sangat Tidak Setuju,Setuju,Setuju
Perlengkapan Seni/Kreatif,"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri; Menambah pengetahuan,Bermain musik; Olahraga; Belanja online/offline,Mainan,Sangat Tidak Setuju,Netral,Sangat Setuju,Setuju
Alat Musik; Alat Tulis Umum (Kantor/Sekolah); Komik/Novel Grafis,Toko alat tulis lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline; Bermain game (offline/online); Bermain musik,Alat Musik & kesenian; Mainan,Tidak Setuju,Tidak Setuju,Sangat Setuju,Sangat Setuju
"Mainan/Collectible item; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi; Olahraga,"Alat Olahraga; Buku fiksi (novel, komik, buku anak)",Sangat Tidak Setuju,Setuju,Tidak Setuju,Tidak Setuju
Mainan/Collectible item,Toko alat tulis lainnya,"Menambah pengetahuan; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga; Membaca buku atau majalah ,Kesehatan dan Kecantikan,Sangat Setuju,Setuju,Setuju,Setuju
Alat Musik; Alat Olahraga; Novel Fiksi,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Menambah pengetahuan",Membaca buku atau majalah ; Olahraga,"Kesehatan dan Kecantikan; Buku fiksi (novel, komik, buku anak); Mainan",Sangat Setuju,Sangat Tidak Setuju,Netral,Tidak Setuju
Perlengkapan Kantor atau Sekolah; Komik/Novel Grafis; Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online); Travelling,"Buku fiksi (novel, komik, buku anak); Alat Olahraga; Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Netral,Sangat Setuju,Setuju
Alat Musik; Alat Olahraga; Novel Fiksi,Website Gramedia.com,Menambah pengetahuan,"Bermain musik; Bermain game (offline/online); Menulis (diari, blog, atau lainnya)",Kesehatan dan Kecantikan,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju
Komik/Novel Grafis; Alat Olahraga; Buku Anak,Toko Gramedia,Untuk mengekspresikan kreativitas,Travelling; Belanja online/offline,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Perlengkapan Kantor atau Sekolah; Alat Olahraga",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline; Menulis (diari, blog, atau lainnya); Melukis atau menggambar ","Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Tulis kantor atau sekolah; Kesehatan dan Kecantikan",Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Perlengkapan Seni/Kreatif; Mainan/Collectible item",Toko buku independen lainnya,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Melukis atau menggambar ; Travelling,"Buku fiksi (novel, komik, buku anak); Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Setuju,Tidak Setuju,Sangat Setuju
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri; Kado atau hadiah; Menambah pengetahuan,Membaca buku atau majalah ; Bermain game (offline/online); Menghadiri acara budaya atau edukasi,Alat Musik & kesenian,Sangat Setuju,Tidak Setuju,Setuju,Sangat Setuju
Buku Anak,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Membaca buku atau majalah ; Belanja online/offline; Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Netral,Tidak Setuju,Setuju
Alat Tulis Umum (Kantor/Sekolah); Jurnal/Perencana (Planner); Perlengkapan Seni/Kreatif,Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain musik; Bermain game (offline/online); Menghadiri acara budaya atau edukasi,Alat Tulis kantor atau sekolah; Mainan,Tidak Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
Alat Musik; Perlengkapan Kantor atau Sekolah; Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Olahraga,"Mainan; Buku fiksi (novel, komik, buku anak)",Setuju,Netral,Sangat Setuju,Sangat Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Perlengkapan Seni/Kreatif; Mainan/Collectible item",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi; Menambah pengetahuan",Olahraga,"Buku fiksi (novel, komik, buku anak)",Setuju,Sangat Setuju,Setuju,Tidak Setuju
"Perlengkapan Kantor atau Sekolah; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)",Sebagai bentuk 'self-reward' atau apresiasi diri; Menambah pengetahuan,Belanja online/offline; Travelling; Membaca buku atau majalah ,Mainan,Netral,Tidak Setuju,Netral,Setuju
Alat Olahraga; Buku Anak; Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,Sebagai bentuk 'self-reward' atau apresiasi diri,Membaca buku atau majalah ,"Buku fiksi (novel, komik, buku anak); Kesehatan dan Kecantikan",Sangat Tidak Setuju,Setuju,Setuju,Netral
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Mainan/Collectible item; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)","Alat Musik & kesenian; Buku non-fiksi (pengembangan diri, sejarah, agama); Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Netral,Sangat Tidak Setuju,Tidak Setuju,Sangat Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain game (offline/online); Belanja online/offline,"Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Bermain musik; Bermain game (offline/online),"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Tidak Setuju,Tidak Setuju,Setuju
"Alat Olahraga; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain game (offline/online); Bermain musik; Olahraga,"Buku fiksi (novel, komik, buku anak); Alat Olahraga",Setuju,Sangat Setuju,Sangat Tidak Setuju,Setuju
Alat Musik; Alat Olahraga; Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Bermain game (offline/online),"Alat Musik & kesenian; Buku fiksi (novel, komik, buku anak); Kesehatan dan Kecantikan",Tidak Setuju,Tidak Setuju,Netral,Netral
Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri; Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Travelling; Belanja online/offline; Menulis (diari, blog, atau lainnya)","Mainan; Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Musik & kesenian",Sangat Tidak Setuju,Sangat Tidak Setuju,Tidak Setuju,Setuju
"Alat Musik; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga,"Alat Musik & kesenian; Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Setuju,Netral,Sangat Tidak Setuju,Setuju
Mainan/Collectible item; Jurnal/Perencana (Planner),Toko Gramedia,Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline; Olahraga,Alat Tulis kantor atau sekolah,Setuju,Setuju,Setuju,Netral
"Mainan/Collectible item; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online); Menulis (diari, blog, atau lainnya)",Mainan,Netral,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri,Olahraga,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Tidak Setuju,Netral,Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Alat Olahraga",Aplikasi Gramedia Digital (ebook),"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline; Bermain game (offline/online),"Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Sangat Tidak Setuju,Tidak Setuju,Netral
Alat Tulis Umum (Kantor/Sekolah); Perlengkapan Kantor atau Sekolah,Aplikasi Gramedia.com,"Menambah pengetahuan; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Setuju,Sangat Setuju,Tidak Setuju,Sangat Tidak Setuju
Perlengkapan Seni/Kreatif,Toko Gramedia,"Kado atau hadiah; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Olahraga; Travelling; Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Olahraga",Sangat Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju
Alat Tulis Umum (Kantor/Sekolah),"Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Olahraga,"Buku non-fiksi (pengembangan diri, sejarah, agama); Mainan",Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju
Komik/Novel Grafis,Toko buku independen lainnya,Hiburan atau relaksasi,Bermain musik,"Mainan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Musik & kesenian",Sangat Tidak Setuju,Tidak Setuju,Netral,Sangat Tidak Setuju
Jurnal/Perencana (Planner); Alat Olahraga,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Travelling,"Mainan; Buku fiksi (novel, komik, buku anak); Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral
Alat Tulis Umum (Kantor/Sekolah); Alat Musik; Alat Olahraga,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas; Sebagai bentuk 'self-reward' atau apresiasi diri",Olahraga; Travelling,Alat Olahraga,Sangat Setuju,Setuju,Sangat Setuju,Netral
Alat Olahraga; Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Kado atau hadiah",Membaca buku atau majalah ; Olahraga; Bermain musik,"Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Sangat Setuju,Sangat Setuju,Netral
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Bermain game (offline/online); Belanja online/offline; Melukis atau menggambar ,"Buku fiksi (novel, komik, buku anak); Kesehatan dan Kecantikan; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Setuju,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju
Novel Fiksi; Komik/Novel Grafis; Buku Anak,Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri; Kado atau hadiah; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya); Menghadiri acara budaya atau edukasi; Bermain musik",Kesehatan dan Kecantikan; Alat Tulis kantor atau sekolah,Sangat Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju
Buku Anak,Aplikasi Gramedia.com,Kado atau hadiah,Melukis atau menggambar ,Alat Olahraga,Netral,Sangat Setuju,Sangat Tidak Setuju,Tidak Setuju
Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online); Menulis (diari, blog, atau lainnya); Menghadiri acara budaya atau edukasi",Alat Tulis kantor atau sekolah,Sangat Setuju,Sangat Setuju,Sangat Setuju,Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Alat Tulis Umum (Kantor/Sekolah)",Toko alat tulis lainnya,"Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Menghadiri acara budaya atau edukasi,Alat Olahraga,Netral,Tidak Setuju,Sangat Setuju,Tidak Setuju
Alat Olahraga; Alat Tulis Umum (Kantor/Sekolah); Jurnal/Perencana (Planner),Toko Gramedia,Menambah pengetahuan; Hiburan atau relaksasi,Bermain musik,"Alat Olahraga; Buku fiksi (novel, komik, buku anak); Alat Musik & kesenian",Netral,Tidak Setuju,Sangat Tidak Setuju,Netral
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.); Perlengkapan Kantor atau Sekolah; Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,Bermain game (offline/online),"Alat Musik & kesenian; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju,Tidak Setuju
Jurnal/Perencana (Planner); Perlengkapan Seni/Kreatif,Aplikasi Gramedia.com,Hiburan atau relaksasi,Membaca buku atau majalah ; Bermain game (offline/online),Mainan,Setuju,Sangat Setuju,Sangat Setuju,Sangat Tidak Setuju
Novel Fiksi; Alat Tulis Umum (Kantor/Sekolah); Jurnal/Perencana (Planner),Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Untuk mengekspresikan kreativitas",Belanja online/offline,Alat Musik & kesenian,Netral,Tidak Setuju,Sangat Setuju,Setuju
Alat Musik,Aplikasi Gramedia.com,Kado atau hadiah,Bermain game (offline/online),"Buku fiksi (novel, komik, buku anak); Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Olahraga",Sangat Setuju,Netral,Sangat Setuju,Tidak Setuju
Alat Olahraga,Aplikasi Gramedia.com,Hiburan atau relaksasi; Menambah pengetahuan; Sebagai bentuk 'self-reward' atau apresiasi diri,"Belanja online/offline; Menulis (diari, blog, atau lainnya)",Alat Tulis kantor atau sekolah,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Setuju
Komik/Novel Grafis; Buku Anak; Novel Fiksi,Aplikasi Gramedia Digital (ebook),Untuk mengekspresikan kreativitas,Belanja online/offline; Travelling,"Buku non-fiksi (pengembangan diri, sejarah, agama); Buku fiksi (novel, komik, buku anak)",Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Netral
Buku Anak; Perlengkapan Seni/Kreatif,Toko Gramedia,Sebagai bentuk 'self-reward' atau apresiasi diri,Bermain musik; Bermain game (offline/online); Membaca buku atau majalah ,"Alat Tulis kantor atau sekolah; Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju
Alat Tulis Umum (Kantor/Sekolah),Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri; Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga; Travelling; Bermain game (offline/online),"Alat Tulis kantor atau sekolah; Buku fiksi (novel, komik, buku anak); Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Sangat Setuju,Tidak Setuju,Setuju
Komik/Novel Grafis,Aplikasi Gramedia.com,Hiburan atau relaksasi,Membaca buku atau majalah ; Bermain musik,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Buku non-fiksi (pengembangan diri, sejarah, agama)",Sangat Tidak Setuju,Netral,Tidak Setuju,Tidak Setuju
Alat Olahraga,Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online); Olahraga,Kesehatan dan Kecantikan; Alat Musik & kesenian,Netral,Tidak Setuju,Setuju,Sangat Tidak Setuju
Alat Olahraga; Perlengkapan Seni/Kreatif; Perlengkapan Kantor atau Sekolah,Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Menambah pengetahuan",Menghadiri acara budaya atau edukasi; Membaca buku atau majalah ; Belanja online/offline,"Mainan; Buku fiksi (novel, komik, buku anak)",Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju
"Alat Musik; Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Perlengkapan Kantor atau Sekolah",Toko Gramedia,"Hiburan atau relaksasi; Untuk mengekspresikan kreativitas; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah ; Bermain musik,"Mainan; Kesehatan dan Kecantikan; Buku fiksi (novel, komik, buku anak)",Sangat Setuju,Netral,Sangat Tidak Setuju,Sangat Setuju
Komik/Novel Grafis,"Marketplace (Shopee, Tokopedia, dll.)",Untuk mengekspresikan kreativitas; Hiburan atau relaksasi; Menambah pengetahuan,"Menghadiri acara budaya atau edukasi; Menulis (diari, blog, atau lainnya); Membaca buku atau majalah ","Kesehatan dan Kecantikan; Buku fiksi (novel, komik, buku anak)",Netral,Netral,Netral,Netral
Novel Fiksi,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline,"Alat Olahraga; Buku non-fiksi (pengembangan diri, sejarah, agama)",Netral,Setuju,Netral,Tidak Setuju
Perlengkapan Seni/Kreatif; Jurnal/Perencana (Planner); Buku Anak,Aplikasi Gramedia.com,"Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Membaca buku atau majalah ; Travelling,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus)",Sangat Tidak Setuju,Sangat Setuju,Sangat Setuju,Netral
"Jurnal/Perencana (Planner); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Perlengkapan Seni/Kreatif",Toko buku independen lainnya,Kado atau hadiah; Sebagai bentuk 'self-reward' atau apresiasi diri,Belanja online/offline,Kesehatan dan Kecantikan; Alat Tulis kantor atau sekolah; Alat Olahraga,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Buku Anak; Alat Olahraga; Perlengkapan Kantor atau Sekolah,Toko Gramedia,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Hiburan atau relaksasi; Sebagai bentuk 'self-reward' atau apresiasi diri",Membaca buku atau majalah ; Menghadiri acara budaya atau edukasi; Bermain musik,Kesehatan dan Kecantikan; Alat Olahraga; Alat Tulis kantor atau sekolah,Setuju,Tidak Setuju,Setuju,Tidak Setuju
Jurnal/Perencana (Planner); Mainan/Collectible item,"Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Untuk mengekspresikan kreativitas",Bermain game (offline/online); Membaca buku atau majalah ; Bermain musik,"Buku Edukasi (Buku Teks, Latihan Soal, Kamus); Alat Musik & kesenian",Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Sebagai bentuk 'self-reward' atau apresiasi diri; Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi; Melukis atau menggambar ; Bermain game (offline/online),Alat Olahraga,Sangat Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju
Novel Fiksi; Buku Anak,Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya); Hiburan atau relaksasi; Menambah pengetahuan","Olahraga; Menulis (diari, blog, atau lainnya)",Kesehatan dan Kecantikan; Mainan; Alat Tulis kantor atau sekolah,Sangat Setuju,Setuju,Tidak Setuju,Sangat Tidak Setuju
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus); Alat Olahraga; Komik/Novel Grafis",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Melukis atau menggambar ; Menulis (diari, blog, atau lainnya)","Buku non-fiksi (pengembangan diri, sejarah, agama); Alat Musik & kesenian; Alat Olahraga",Sangat Tidak Setuju,Sangat Setuju,Setuju,Sangat Tidak Setuju
Alat Olahraga,Website Gramedia.com,Untuk mengekspresikan kreativitas; Sebagai bentuk 'self-reward' atau apresiasi diri; Hiburan atau relaksasi,Olahraga; Bermain musik; Travelling,"Alat Musik & kesenian; Buku fiksi (novel, komik, buku anak); Kesehatan dan Kecantikan",Setuju,Tidak Setuju,Netral,Netral
Komik/Novel Grafis; Mainan/Collectible item,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor); Hiburan atau relaksasi",Menghadiri acara budaya atau edukasi; Belanja online/offline; Bermain musik,Alat Olahraga,Sangat Tidak Setuju,Sangat Setuju,Setuju,Sangat Setuju
"Alat Tulis Umum (Kantor/Sekolah); Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)",Kado atau hadiah,"Bermain musik; Olahraga; Menulis (diari, blog, atau lainnya)","Buku non-fiksi (pengembangan diri, sejarah, agama)",Tidak Setuju,Sangat Setuju,Sangat Setuju,Netral
