Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,cluster
"{'Sport & mainanan', 'Buku Non-Fiksi'}",{'Toko alat tulis lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Kado atau hadiah'}","{'Lifestyle', 'Aktivitas Rekreasional'}",{'edukasi'},{'Netral'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},2
"{'Alat Kantor/Sekolah', 'Buku Anak'}",{'Website Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Lifestyle', 'Aktivitas Rekreasional'}",{'Self Wear'},{'Sangat Tidak Setuju'},{'Netral'},{'Netral'},{'Sangat Tidak Setuju'},4
"{'Sport & mainanan', 'Novel Fiksi'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan'}","{'Lifestyle', 'Seni'}","{'edukasi', 'Self Wear'}",{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Tidak Setuju'},0
"{'Alat Kantor/Sekolah', 'Buku Anak'}",{'Toko Gramedia'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}",{'Lifestyle'},{'edukasi'},{'Sangat Tidak Setuju'},{'Netral'},{'Netral'},{'Setuju'},4
"{'Alat Kantor/Sekolah', 'Novel Fiksi', 'Komik'}",{'Toko Gramedia'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}",{'Literasi'},{'Self Wear'},{'Setuju'},{'Netral'},{'Netral'},{'Sangat Setuju'},3
"{'Edukasi', 'Alat Kantor/Sekolah'}","{'Marketplace (Shopee, Tokopedia, dll.)'}",{'Untuk mengekspresikan kreativitas'},"{'Lifestyle', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear', 'Daily needs'}",{'Sangat Setuju'},{'Netral'},{'Setuju'},{'Sangat Setuju'},4
"{'Sport & mainanan', 'Alat Kantor/Sekolah', 'Alat Seni'}",{'Toko buku independen lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Lifestyle', 'Seni'}",{'Daily needs'},{'Tidak Setuju'},{'Setuju'},{'Netral'},{'Netral'},1
{'Sport & mainanan'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Hiburan atau relaksasi'}",{'Literasi'},"{'edukasi', 'Daily needs', 'Alat Seni'}",{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},{'Setuju'},0
{'Novel Fiksi'},{'Aplikasi Gramedia Digital (ebook)'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Kado atau hadiah'}","{'Lifestyle', 'Seni'}","{'edukasi', 'Self Wear'}",{'Netral'},{'Setuju'},{'Netral'},{'Setuju'},1
"{'Sport & mainanan', 'Komik', 'Buku Non-Fiksi'}",{'Toko Gramedia'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Untuk mengekspresikan kreativitas'}","{'Literasi', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear'}",{'Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Netral'},0
{'Alat Kantor/Sekolah'},{'Website Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Menambah pengetahuan', 'Kado atau hadiah'}",{'Aktivitas Rekreasional'},{'Alat Seni'},{'Setuju'},{'Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},0
"{'Edukasi', 'Alat Seni'}",{'Toko alat tulis lainnya'},"{'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}",{'Aktivitas Rekreasional'},"{'edukasi', 'Self Wear'}",{'Netral'},{'Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},3
"{'Sport & mainanan', 'Komik'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Kado atau hadiah'}",{'Literasi'},{'edukasi'},{'Sangat Tidak Setuju'},{'Netral'},{'Setuju'},{'Netral'},4
{'Alat Kantor/Sekolah'},{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Literasi', 'Lifestyle', 'Seni'}","{'edukasi', 'Self Wear', 'Alat Seni'}",{'Sangat Setuju'},{'Sangat Setuju'},{'Setuju'},{'Sangat Setuju'},1
"{'Sport & mainanan', 'Novel Fiksi'}",{'Toko alat tulis lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Menambah pengetahuan'}",{'Lifestyle'},"{'edukasi', 'Daily needs'}",{'Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},2
"{'Edukasi', 'Alat Kantor/Sekolah', 'Komik'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan'}","{'Aktivitas Rekreasional', 'Seni'}","{'edukasi', 'Alat Seni'}",{'Netral'},{'Tidak Setuju'},{'Setuju'},{'Sangat Setuju'},2
"{'Sport & mainanan', 'Alat Kantor/Sekolah', 'Alat Seni'}",{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Untuk mengekspresikan kreativitas', 'Kado atau hadiah'}","{'Literasi', 'Aktivitas Rekreasional'}","{'Self Wear', 'Alat Seni'}",{'Tidak Setuju'},{'Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},2
"{'Edukasi', 'Alat Seni'}",{'Toko buku independen lainnya'},"{'Hiburan atau relaksasi', 'Kado atau hadiah'}","{'Literasi', 'Lifestyle', 'Aktivitas Rekreasional'}",{'Alat Seni'},{'Sangat Setuju'},{'Sangat Setuju'},{'Setuju'},{'Tidak Setuju'},0
"{'Alat Kantor/Sekolah', 'Alat Seni'}",{'Aplikasi Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Hiburan atau relaksasi'}","{'Literasi', 'Seni'}","{'edukasi', 'Self Wear'}",{'Netral'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},3
"{'Sport & mainanan', 'Buku Anak', 'Alat Seni'}",{'Aplikasi Gramedia.com'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan', 'Kado atau hadiah'}",{'Aktivitas Rekreasional'},"{'Self Wear', 'Daily needs'}",{'Sangat Setuju'},{'Sangat Setuju'},{'Netral'},{'Sangat Tidak Setuju'},2
"{'Sport & mainanan', 'Alat Kantor/Sekolah', 'Komik'}",{'Toko alat tulis lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Hiburan atau relaksasi', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}",{'Aktivitas Rekreasional'},"{'Self Wear', 'Alat Seni'}",{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},1
"{'Alat Kantor/Sekolah', 'Buku Anak'}",{'Aplikasi Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}",{'Aktivitas Rekreasional'},"{'Self Wear', 'Alat Seni'}",{'Sangat Tidak Setuju'},{'Netral'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},3
{'Buku Anak'},{'Toko buku independen lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan'}","{'Aktivitas Rekreasional', 'Seni'}",{'edukasi'},{'Setuju'},{'Netral'},{'Netral'},{'Setuju'},1
"{'Sport & mainanan', 'Komik'}","{'Marketplace (Shopee, Tokopedia, dll.)'}",{'Menambah pengetahuan'},"{'Aktivitas Rekreasional', 'Seni'}",{'Self Wear'},{'Netral'},{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},2
"{'Sport & mainanan', 'Alat Kantor/Sekolah', 'Alat Seni'}",{'Website Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Hiburan atau relaksasi'}","{'Lifestyle', 'Aktivitas Rekreasional', 'Seni'}",{'Self Wear'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},1
"{'Alat Kantor/Sekolah', 'Alat Seni'}",{'Toko Gramedia'},{'Untuk mengekspresikan kreativitas'},{'Aktivitas Rekreasional'},"{'edukasi', 'Self Wear'}",{'Setuju'},{'Setuju'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},0
"{'Sport & mainanan', 'Buku Anak', 'Buku Non-Fiksi'}",{'Aplikasi Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan'}","{'Literasi', 'Lifestyle', 'Aktivitas Rekreasional'}",{'Self Wear'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Netral'},0
"{'Sport & mainanan', 'Alat Kantor/Sekolah', 'Alat Seni'}",{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Untuk mengekspresikan kreativitas'}",{'Lifestyle'},"{'edukasi', 'Daily needs', 'Alat Seni'}",{'Netral'},{'Setuju'},{'Setuju'},{'Setuju'},2
"{'Edukasi', 'Alat Seni'}",{'Toko buku independen lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kado atau hadiah'}",{'Lifestyle'},"{'edukasi', 'Self Wear'}",{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Netral'},0
"{'Novel Fiksi', 'Buku Anak'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Lifestyle', 'Aktivitas Rekreasional', 'Seni'}",{'edukasi'},{'Sangat Tidak Setuju'},{'Netral'},{'Tidak Setuju'},{'Setuju'},4
"{'Alat Kantor/Sekolah', 'Alat Seni', 'Buku Non-Fiksi'}","{'Marketplace (Shopee, Tokopedia, dll.)'}",{'Menambah pengetahuan'},"{'Literasi', 'Lifestyle', 'Aktivitas Rekreasional'}",{'Self Wear'},{'Setuju'},{'Netral'},{'Netral'},{'Netral'},4
"{'Komik', 'Alat Kantor/Sekolah', 'Buku Anak'}",{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Untuk mengekspresikan kreativitas'}","{'Lifestyle', 'Aktivitas Rekreasional', 'Seni'}","{'Self Wear', 'Alat Seni'}",{'Sangat Setuju'},{'Netral'},{'Sangat Setuju'},{'Sangat Setuju'},0
{'Alat Kantor/Sekolah'},{'Toko buku independen lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Aktivitas Rekreasional', 'Seni'}","{'Self Wear', 'Daily needs', 'Alat Seni'}",{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},0
"{'Alat Kantor/Sekolah', 'Buku Anak'}",{'Aplikasi Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Menambah pengetahuan', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Literasi', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear', 'Daily needs'}",{'Netral'},{'Tidak Setuju'},{'Netral'},{'Sangat Setuju'},3
{'Buku Non-Fiksi'},{'Aplikasi Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}",{'Aktivitas Rekreasional'},{'edukasi'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},2
"{'Sport & mainanan', 'Alat Kantor/Sekolah', 'Komik'}",{'Website Gramedia.com'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan', 'Kado atau hadiah'}","{'Literasi', 'Lifestyle', 'Aktivitas Rekreasional'}","{'Self Wear', 'Daily needs'}",{'Netral'},{'Tidak Setuju'},{'Netral'},{'Tidak Setuju'},2
{'Novel Fiksi'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Aktivitas Rekreasional', 'Seni'}","{'Self Wear', 'Alat Seni'}",{'Sangat Setuju'},{'Netral'},{'Sangat Setuju'},{'Netral'},0
"{'Sport & mainanan', 'Alat Kantor/Sekolah', 'Komik'}",{'Toko Gramedia'},"{'Hiburan atau relaksasi', 'Kado atau hadiah'}","{'Lifestyle', 'Aktivitas Rekreasional', 'Seni'}",{'Self Wear'},{'Netral'},{'Netral'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},3
{'Buku Non-Fiksi'},{'Toko Gramedia'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}",{'Aktivitas Rekreasional'},{'Alat Seni'},{'Sangat Setuju'},{'Sangat Setuju'},{'Netral'},{'Netral'},1
"{'Alat Kantor/Sekolah', 'Alat Seni'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}","{'Aktivitas Rekreasional', 'Seni'}","{'edukasi', 'Self Wear'}",{'Setuju'},{'Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},2
{'Sport & mainanan'},{'Toko Gramedia'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Menambah pengetahuan'}","{'Literasi', 'Aktivitas Rekreasional'}",{'Daily needs'},{'Sangat Setuju'},{'Netral'},{'Tidak Setuju'},{'Setuju'},3
{'Novel Fiksi'},{'Toko buku independen lainnya'},{'Kado atau hadiah'},"{'Literasi', 'Lifestyle', 'Seni'}",{'edukasi'},{'Netral'},{'Sangat Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},3
"{'Edukasi', 'Alat Kantor/Sekolah', 'Alat Seni'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas', 'Kado atau hadiah'}","{'Literasi', 'Lifestyle'}","{'edukasi', 'Self Wear'}",{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},0
"{'Sport & mainanan', 'Komik'}",{'Toko Gramedia'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Menambah pengetahuan', 'Kado atau hadiah'}",{'Seni'},{'Self Wear'},{'Tidak Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},2
"{'Buku Anak', 'Alat Seni'}",{'Toko buku independen lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}",{'Aktivitas Rekreasional'},"{'edukasi', 'Self Wear'}",{'Tidak Setuju'},{'Netral'},{'Sangat Setuju'},{'Sangat Setuju'},3
"{'Alat Kantor/Sekolah', 'Novel Fiksi', 'Buku Non-Fiksi'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}","{'Literasi', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear'}",{'Tidak Setuju'},{'Tidak Setuju'},{'Setuju'},{'Sangat Tidak Setuju'},2
{'Alat Kantor/Sekolah'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Untuk mengekspresikan kreativitas'}","{'Lifestyle', 'Seni'}","{'Self Wear', 'Daily needs'}",{'Netral'},{'Sangat Setuju'},{'Netral'},{'Tidak Setuju'},1
"{'Edukasi', 'Novel Fiksi', 'Sport & mainanan'}",{'Aplikasi Gramedia Digital (ebook)'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Menambah pengetahuan'}",{'Literasi'},"{'edukasi', 'Self Wear'}",{'Setuju'},{'Netral'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},4
"{'Edukasi', 'Novel Fiksi'}",{'Aplikasi Gramedia.com'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan'}",{'Lifestyle'},"{'Self Wear', 'Daily needs'}",{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},2
"{'Edukasi', 'Alat Kantor/Sekolah'}",{'Toko buku independen lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Untuk mengekspresikan kreativitas'}",{'Seni'},{'Daily needs'},{'Sangat Tidak Setuju'},{'Setuju'},{'Setuju'},{'Setuju'},4
"{'Sport & mainanan', 'Novel Fiksi', 'Buku Anak'}",{'Aplikasi Gramedia.com'},{'Untuk mengekspresikan kreativitas'},"{'Literasi', 'Aktivitas Rekreasional'}","{'edukasi', 'Alat Seni'}",{'Netral'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},0
"{'Sport & mainanan', 'Alat Kantor/Sekolah'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Lifestyle', 'Aktivitas Rekreasional'}",{'edukasi'},{'Setuju'},{'Tidak Setuju'},{'Setuju'},{'Sangat Tidak Setuju'},2
{'Alat Seni'},{'Website Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Menambah pengetahuan'}","{'Lifestyle', 'Aktivitas Rekreasional', 'Seni'}","{'Daily needs', 'Alat Seni'}",{'Tidak Setuju'},{'Netral'},{'Setuju'},{'Netral'},4
"{'Sport & mainanan', 'Alat Kantor/Sekolah'}",{'Aplikasi Gramedia.com'},{'Hiburan atau relaksasi'},"{'Literasi', 'Lifestyle', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear'}",{'Setuju'},{'Netral'},{'Tidak Setuju'},{'Sangat Setuju'},3
"{'Edukasi', 'Alat Kantor/Sekolah'}",{'Toko alat tulis lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kado atau hadiah'}","{'Aktivitas Rekreasional', 'Seni'}","{'edukasi', 'Self Wear'}",{'Setuju'},{'Netral'},{'Setuju'},{'Setuju'},1
"{'Komik', 'Alat Kantor/Sekolah', 'Buku Anak'}",{'Toko alat tulis lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Untuk mengekspresikan kreativitas'}","{'Literasi', 'Lifestyle', 'Aktivitas Rekreasional'}",{'Self Wear'},{'Tidak Setuju'},{'Sangat Setuju'},{'Setuju'},{'Netral'},1
{'Alat Seni'},{'Aplikasi Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Hiburan atau relaksasi', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Literasi', 'Lifestyle'}","{'edukasi', 'Self Wear'}",{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},4
{'Sport & mainanan'},{'Toko alat tulis lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan'}",{'Literasi'},"{'edukasi', 'Daily needs'}",{'Sangat Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},2
"{'Sport & mainanan', 'Buku Anak'}",{'Aplikasi Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Menambah pengetahuan', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Literasi', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear'}",{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Tidak Setuju'},0
"{'Edukasi', 'Novel Fiksi', 'Alat Seni'}",{'Aplikasi Gramedia Digital (ebook)'},{'Menambah pengetahuan'},{'Literasi'},"{'Self Wear', 'Alat Seni'}",{'Setuju'},{'Netral'},{'Netral'},{'Tidak Setuju'},4
"{'Sport & mainanan', 'Alat Kantor/Sekolah'}",{'Aplikasi Gramedia Digital (ebook)'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan'}","{'Literasi', 'Aktivitas Rekreasional'}","{'Self Wear', 'Daily needs'}",{'Sangat Setuju'},{'Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},0
{'Edukasi'},{'Website Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Lifestyle', 'Aktivitas Rekreasional'}",{'edukasi'},{'Netral'},{'Tidak Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},0
"{'Sport & mainanan', 'Alat Seni'}",{'Toko alat tulis lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Aktivitas Rekreasional', 'Seni'}",{'Daily needs'},{'Sangat Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},{'Netral'},1
"{'Buku Non-Fiksi', 'Alat Seni'}",{'Website Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}",{'Aktivitas Rekreasional'},"{'Daily needs', 'Alat Seni'}",{'Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},1
"{'Edukasi', 'Sport & mainanan', 'Buku Non-Fiksi'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi', 'Menambah pengetahuan'}","{'Lifestyle', 'Aktivitas Rekreasional'}","{'edukasi', 'Alat Seni'}",{'Netral'},{'Setuju'},{'Setuju'},{'Tidak Setuju'},0
"{'Komik', 'Alat Seni'}",{'Toko alat tulis lainnya'},{'Hiburan atau relaksasi'},"{'Aktivitas Rekreasional', 'Seni'}","{'edukasi', 'Self Wear'}",{'Netral'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},1
{'Buku Anak'},{'Toko buku independen lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Untuk mengekspresikan kreativitas'}",{'Seni'},"{'edukasi', 'Self Wear'}",{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},0
"{'Alat Kantor/Sekolah', 'Komik'}",{'Aplikasi Gramedia.com'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Hiburan atau relaksasi', 'Untuk mengekspresikan kreativitas'}",{'Literasi'},{'edukasi'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},0
"{'Buku Anak', 'Alat Seni'}",{'Website Gramedia.com'},"{'Hiburan atau relaksasi', 'Untuk mengekspresikan kreativitas', 'Kado atau hadiah'}","{'Lifestyle', 'Aktivitas Rekreasional'}","{'edukasi', 'Self Wear'}",{'Sangat Tidak Setuju'},{'Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},4
"{'Sport & mainanan', 'Alat Kantor/Sekolah', 'Novel Fiksi'}",{'Toko Gramedia'},{'Menambah pengetahuan'},"{'Literasi', 'Seni'}","{'edukasi', 'Self Wear'}",{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Netral'},{'Sangat Setuju'},2
"{'Sport & mainanan', 'Alat Seni'}",{'Aplikasi Gramedia Digital (ebook)'},{'Untuk mengekspresikan kreativitas'},"{'Literasi', 'Aktivitas Rekreasional', 'Seni'}",{'edukasi'},{'Setuju'},{'Netral'},{'Sangat Setuju'},{'Sangat Setuju'},3
"{'Novel Fiksi', 'Komik', 'Buku Non-Fiksi'}","{'Marketplace (Shopee, Tokopedia, dll.)'}",{'Kado atau hadiah'},"{'Lifestyle', 'Seni'}","{'edukasi', 'Alat Seni'}",{'Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},0
"{'Edukasi', 'Buku Anak'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Kado atau hadiah'}",{'Seni'},"{'edukasi', 'Self Wear'}",{'Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},{'Setuju'},1
"{'Sport & mainanan', 'Alat Kantor/Sekolah'}",{'Toko Gramedia'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Literasi', 'Aktivitas Rekreasional', 'Seni'}",{'edukasi'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Netral'},{'Netral'},1
"{'Sport & mainanan', 'Buku Anak', 'Buku Non-Fiksi'}",{'Aplikasi Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', ""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Untuk mengekspresikan kreativitas'}","{'Literasi', 'Aktivitas Rekreasional', 'Seni'}",{'edukasi'},{'Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},1
"{'Alat Kantor/Sekolah', 'Komik'}",{'Toko buku independen lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Hiburan atau relaksasi', 'Kado atau hadiah'}",{'Aktivitas Rekreasional'},{'edukasi'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Setuju'},3
{'Edukasi'},{'Aplikasi Gramedia Digital (ebook)'},"{'Untuk mengekspresikan kreativitas', 'Kado atau hadiah'}","{'Lifestyle', 'Aktivitas Rekreasional'}",{'edukasi'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},4
