Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi,Minat,Pernyataan: Membaca adalah bagian penting dari pengembangan diri saya,Pernyataan: Saya sering mencari inspirasi untuk kegiatan kreatif dari buku atau alat tulis,Pernyataan: Saya berusaha menerapkan gaya hidup minimalis dalam hal kepemilikan barang,Pernyataan: Saya nyaman menggunakan teknologi digital untuk membaca dan mencatat,cluster
"{'Perlengkapan Seni/Kreatif', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)', 'Alat Musik'}",{'Toko buku independen lainnya'},"{'Untuk mengekspresikan kreativitas', 'Kado atau hadiah'}",{'Melukis atau menggambar'},"{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Buku fiksi (novel, komik, buku anak)'}",{'Sangat Setuju'},{'Netral'},{'Sangat Tidak Setuju'},{'Netral'},1
{'Komik/Novel Grafis'},{'Toko Gramedia'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}",{'Membaca buku atau majalah'},"{'Buku fiksi (novel, komik, buku anak)'}",{'Tidak Setuju'},{'Netral'},{'Netral'},{'Netral'},0
"{'Perlengkapan Seni/Kreatif', 'Alat Olahraga', 'Perlengkapan Kantor atau Sekolah'}",{'Website Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}",{'Bermain musik'},"{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Alat Musik & kesenian', 'Alat Tulis kantor atau sekolah'}",{'Netral'},{'Sangat Setuju'},{'Sangat Setuju'},{'Netral'},4
{'Alat Olahraga'},{'Toko buku independen lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Travelling', 'Melukis atau menggambar'}","{'Mainan', 'Buku fiksi (novel, komik, buku anak)', 'Alat Olahraga'}",{'Tidak Setuju'},{'Tidak Setuju'},{'Setuju'},{'Sangat Tidak Setuju'},0
"{'Mainan/Collectible item', 'Perlengkapan Seni/Kreatif', 'Perlengkapan Kantor atau Sekolah'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}",{'Bermain musik'},"{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Buku fiksi (novel, komik, buku anak)', 'Alat Olahraga'}",{'Setuju'},{'Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},2
{'Perlengkapan Kantor atau Sekolah'},{'Aplikasi Gramedia Digital (ebook)'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan', 'Kado atau hadiah'}","{'Travelling', 'Membaca buku atau majalah', 'Olahraga'}","{'Buku non-fiksi (pengembangan diri, sejarah, agama)'}",{'Setuju'},{'Netral'},{'Sangat Tidak Setuju'},{'Netral'},4
{'Alat Tulis Umum (Kantor/Sekolah)'},{'Toko buku independen lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Untuk mengekspresikan kreativitas'}","{'Menulis (diari, blog, atau lainnya)'}","{'Buku fiksi (novel, komik, buku anak)', 'Kesehatan dan Kecantikan'}",{'Netral'},{'Setuju'},{'Tidak Setuju'},{'Sangat Setuju'},3
"{'Buku Anak', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)', 'Alat Tulis Umum (Kantor/Sekolah)'}",{'Toko buku independen lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}",{'Belanja online/offline'},"{'Mainan', 'Alat Musik & kesenian'}",{'Sangat Setuju'},{'Sangat Setuju'},{'Netral'},{'Netral'},1
"{'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)'}",{'Website Gramedia.com'},{'Untuk mengekspresikan kreativitas'},"{'Bermain game (offline/online)', 'Bermain musik', 'Belanja online/offline'}","{'Mainan', 'Buku fiksi (novel, komik, buku anak)', 'Alat Tulis kantor atau sekolah'}",{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},{'Setuju'},3
{'Komik/Novel Grafis'},{'Website Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi', 'Menambah pengetahuan'}","{'Bermain musik', 'Belanja online/offline', 'Melukis atau menggambar'}",{'Alat Olahraga'},{'Sangat Tidak Setuju'},{'Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},3
"{'Jurnal/Perencana (Planner)', 'Novel Fiksi', 'Komik/Novel Grafis'}",{'Website Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', ""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kado atau hadiah'}","{'Bermain musik', 'Belanja online/offline', 'Menghadiri acara budaya atau edukasi'}","{'Mainan', 'Buku fiksi (novel, komik, buku anak)', 'Alat Olahraga'}",{'Setuju'},{'Netral'},{'Sangat Setuju'},{'Sangat Setuju'},1
"{'Novel Fiksi', 'Perlengkapan Seni/Kreatif'}",{'Toko alat tulis lainnya'},{'Untuk mengekspresikan kreativitas'},"{'Bermain musik', 'Belanja online/offline', 'Melukis atau menggambar'}",{'Alat Musik & kesenian'},{'Setuju'},{'Setuju'},{'Netral'},{'Tidak Setuju'},2
"{'Perlengkapan Seni/Kreatif', 'Komik/Novel Grafis', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Hiburan atau relaksasi', 'Untuk mengekspresikan kreativitas'}",{'Travelling'},"{'Kesehatan dan Kecantikan', 'Alat Tulis kantor atau sekolah'}",{'Tidak Setuju'},{'Setuju'},{'Setuju'},{'Setuju'},1
"{'Novel Fiksi', 'Perlengkapan Seni/Kreatif', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi', 'Untuk mengekspresikan kreativitas'}","{'Bermain game (offline/online)', 'Menulis (diari, blog, atau lainnya)', 'Melukis atau menggambar'}","{'Buku fiksi (novel, komik, buku anak)', 'Kesehatan dan Kecantikan', 'Alat Musik & kesenian'}",{'Tidak Setuju'},{'Netral'},{'Tidak Setuju'},{'Tidak Setuju'},2
"{'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)'}",{'Toko buku independen lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Hiburan atau relaksasi', 'Kado atau hadiah'}","{'Travelling', 'Menghadiri acara budaya atau edukasi', 'Melukis atau menggambar'}",{'Alat Olahraga'},{'Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Netral'},3
"{'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)', 'Alat Olahraga'}",{'Aplikasi Gramedia.com'},{'Untuk mengekspresikan kreativitas'},{'Bermain game (offline/online)'},"{'Alat Musik & kesenian', 'Buku fiksi (novel, komik, buku anak)'}",{'Setuju'},{'Netral'},{'Sangat Setuju'},{'Tidak Setuju'},2
"{'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Perlengkapan Seni/Kreatif', 'Alat Olahraga'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Bermain game (offline/online)', 'Menghadiri acara budaya atau edukasi'}","{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Alat Tulis kantor atau sekolah', 'Alat Olahraga'}",{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Setuju'},{'Sangat Tidak Setuju'},0
"{'Mainan/Collectible item', 'Alat Musik', 'Perlengkapan Kantor atau Sekolah'}",{'Aplikasi Gramedia.com'},{'Untuk mengekspresikan kreativitas'},"{'Bermain game (offline/online)', 'Belanja online/offline'}","{'Buku fiksi (novel, komik, buku anak)', 'Kesehatan dan Kecantikan'}",{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Setuju'},5
{'Perlengkapan Seni/Kreatif'},{'Website Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}",{'Membaca buku atau majalah'},"{'Mainan', 'Kesehatan dan Kecantikan', 'Alat Tulis kantor atau sekolah'}",{'Sangat Tidak Setuju'},{'Netral'},{'Tidak Setuju'},{'Tidak Setuju'},3
"{'Perlengkapan Seni/Kreatif', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)'}",{'Toko alat tulis lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Untuk mengekspresikan kreativitas'}","{'Membaca buku atau majalah', 'Melukis atau menggambar'}","{'Alat Musik & kesenian', 'Buku fiksi (novel, komik, buku anak)'}",{'Sangat Tidak Setuju'},{'Netral'},{'Sangat Setuju'},{'Netral'},2
{'Alat Olahraga'},{'Toko buku independen lainnya'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan', 'Kado atau hadiah'}","{'Travelling', 'Menulis (diari, blog, atau lainnya)'}",{'Kesehatan dan Kecantikan'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},0
"{'Mainan/Collectible item', 'Alat Tulis Umum (Kantor/Sekolah)'}",{'Website Gramedia.com'},{'Hiburan atau relaksasi'},"{'Bermain game (offline/online)', 'Travelling'}","{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Alat Tulis kantor atau sekolah'}",{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Netral'},{'Setuju'},3
"{'Jurnal/Perencana (Planner)', 'Perlengkapan Seni/Kreatif', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)'}",{'Aplikasi Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Travelling', 'Belanja online/offline', 'Menulis (diari, blog, atau lainnya)'}","{'Mainan', 'Buku fiksi (novel, komik, buku anak)'}",{'Setuju'},{'Tidak Setuju'},{'Setuju'},{'Tidak Setuju'},1
"{'Perlengkapan Seni/Kreatif', 'Komik/Novel Grafis', 'Perlengkapan Kantor atau Sekolah'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Untuk mengekspresikan kreativitas'}",{'Melukis atau menggambar'},"{'Mainan', 'Kesehatan dan Kecantikan', 'Alat Olahraga'}",{'Netral'},{'Tidak Setuju'},{'Sangat Setuju'},{'Netral'},4
"{'Alat Musik', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)', 'Perlengkapan Kantor atau Sekolah'}",{'Toko buku independen lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}","{'Travelling', 'Membaca buku atau majalah', 'Menulis (diari, blog, atau lainnya)'}",{'Kesehatan dan Kecantikan'},{'Tidak Setuju'},{'Setuju'},{'Netral'},{'Setuju'},0
"{'Buku Anak', 'Alat Olahraga'}",{'Aplikasi Gramedia Digital (ebook)'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kado atau hadiah'}",{'Membaca buku atau majalah'},"{'Mainan', 'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Tidak Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},0
"{'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)'}",{'Toko buku independen lainnya'},{'Untuk mengekspresikan kreativitas'},{'Travelling'},"{'Alat Tulis kantor atau sekolah', 'Alat Olahraga'}",{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},5
"{'Novel Fiksi', 'Alat Musik', 'Perlengkapan Kantor atau Sekolah'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Menambah pengetahuan', 'Kado atau hadiah'}","{'Bermain musik', 'Travelling'}","{'Mainan', 'Alat Musik & kesenian', 'Alat Tulis kantor atau sekolah'}",{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},3
"{'Novel Fiksi', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)', 'Perlengkapan Kantor atau Sekolah'}",{'Toko buku independen lainnya'},{'Untuk mengekspresikan kreativitas'},"{'Bermain game (offline/online)', 'Membaca buku atau majalah', 'Menulis (diari, blog, atau lainnya)'}","{'Alat Musik & kesenian', 'Alat Olahraga', 'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Netral'},{'Netral'},{'Setuju'},{'Sangat Setuju'},1
"{'Komik/Novel Grafis', 'Perlengkapan Kantor atau Sekolah'}",{'Aplikasi Gramedia Digital (ebook)'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Kado atau hadiah'}","{'Travelling', 'Menghadiri acara budaya atau edukasi', 'Menulis (diari, blog, atau lainnya)'}",{'Alat Tulis kantor atau sekolah'},{'Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},{'Setuju'},5
"{'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Perlengkapan Kantor atau Sekolah', 'Alat Tulis Umum (Kantor/Sekolah)'}",{'Toko Gramedia'},{'Untuk mengekspresikan kreativitas'},{'Belanja online/offline'},"{'Mainan', 'Buku fiksi (novel, komik, buku anak)', 'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Sangat Setuju'},{'Setuju'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},2
{'Perlengkapan Seni/Kreatif'},{'Toko alat tulis lainnya'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Bermain musik', 'Menghadiri acara budaya atau edukasi', 'Menulis (diari, blog, atau lainnya)'}","{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Alat Musik & kesenian'}",{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Sangat Setuju'},3
"{'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Komik/Novel Grafis', 'Perlengkapan Seni/Kreatif'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas', 'Kado atau hadiah'}",{'Olahraga'},"{'Mainan', 'Alat Tulis kantor atau sekolah', 'Alat Olahraga'}",{'Sangat Tidak Setuju'},{'Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},3
"{'Mainan/Collectible item', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)'}",{'Toko alat tulis lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Menambah pengetahuan'}",{'Belanja online/offline'},"{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Alat Musik & kesenian', 'Buku fiksi (novel, komik, buku anak)'}",{'Setuju'},{'Netral'},{'Sangat Setuju'},{'Sangat Setuju'},2
{'Alat Olahraga'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Membaca buku atau majalah', 'Olahraga'}",{'Alat Olahraga'},{'Sangat Tidak Setuju'},{'Netral'},{'Sangat Tidak Setuju'},{'Netral'},4
"{'Mainan/Collectible item', 'Perlengkapan Seni/Kreatif', 'Alat Tulis Umum (Kantor/Sekolah)'}","{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Untuk mengekspresikan kreativitas'}","{'Bermain game (offline/online)', 'Bermain musik'}","{'Buku fiksi (novel, komik, buku anak)'}",{'Setuju'},{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},3
{'Buku Anak'},{'Website Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Menambah pengetahuan', 'Kado atau hadiah'}",{'Belanja online/offline'},{'Kesehatan dan Kecantikan'},{'Netral'},{'Setuju'},{'Sangat Tidak Setuju'},{'Setuju'},5
{'Komik/Novel Grafis'},{'Website Gramedia.com'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan', 'Kado atau hadiah'}",{'Melukis atau menggambar'},"{'Buku fiksi (novel, komik, buku anak)', 'Alat Tulis kantor atau sekolah'}",{'Netral'},{'Tidak Setuju'},{'Setuju'},{'Tidak Setuju'},5
"{'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Buku Anak', 'Perlengkapan Seni/Kreatif'}",{'Website Gramedia.com'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', ""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Menulis (diari, blog, atau lainnya)', 'Travelling', 'Membaca buku atau majalah'}","{'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Netral'},{'Tidak Setuju'},{'Netral'},{'Sangat Setuju'},3
{'Alat Olahraga'},{'Aplikasi Gramedia Digital (ebook)'},{'Untuk mengekspresikan kreativitas'},"{'Bermain game (offline/online)', 'Travelling', 'Olahraga'}","{'Buku fiksi (novel, komik, buku anak)', 'Alat Olahraga', 'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Netral'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Setuju'},4
{'Novel Fiksi'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}","{'Menghadiri acara budaya atau edukasi', 'Menulis (diari, blog, atau lainnya)'}",{'Mainan'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},3
"{'Alat Musik', 'Alat Tulis Umum (Kantor/Sekolah)'}",{'Toko buku independen lainnya'},{'Untuk mengekspresikan kreativitas'},{'Menghadiri acara budaya atau edukasi'},"{'Alat Tulis kantor atau sekolah', 'Buku fiksi (novel, komik, buku anak)', 'Kesehatan dan Kecantikan'}",{'Sangat Tidak Setuju'},{'Netral'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},1
{'Alat Musik'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Kado atau hadiah'}","{'Bermain musik', 'Belanja online/offline', 'Menghadiri acara budaya atau edukasi'}",{'Alat Tulis kantor atau sekolah'},{'Tidak Setuju'},{'Setuju'},{'Setuju'},{'Netral'},1
"{'Perlengkapan Seni/Kreatif', 'Alat Musik'}",{'Toko buku independen lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Hiburan atau relaksasi', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}",{'Bermain game (offline/online)'},"{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Buku fiksi (novel, komik, buku anak)', 'Kesehatan dan Kecantikan'}",{'Netral'},{'Sangat Setuju'},{'Setuju'},{'Netral'},4
"{'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Alat Musik', 'Alat Tulis Umum (Kantor/Sekolah)'}",{'Aplikasi Gramedia Digital (ebook)'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Untuk mengekspresikan kreativitas'}",{'Travelling'},"{'Alat Musik & kesenian', 'Kesehatan dan Kecantikan'}",{'Sangat Tidak Setuju'},{'Netral'},{'Netral'},{'Netral'},3
"{'Mainan/Collectible item', 'Komik/Novel Grafis', 'Alat Olahraga'}",{'Toko Gramedia'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Untuk mengekspresikan kreativitas'}","{'Travelling', 'Menghadiri acara budaya atau edukasi', 'Olahraga'}","{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Setuju'},{'Tidak Setuju'},{'Tidak Setuju'},{'Sangat Setuju'},0
{'Alat Tulis Umum (Kantor/Sekolah)'},{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Menambah pengetahuan'}",{'Menghadiri acara budaya atau edukasi'},"{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Buku fiksi (novel, komik, buku anak)', 'Alat Olahraga'}",{'Tidak Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},2
{'Novel Fiksi'},{'Toko buku independen lainnya'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kado atau hadiah'}",{'Melukis atau menggambar'},"{'Buku fiksi (novel, komik, buku anak)'}",{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Setuju'},{'Setuju'},1
"{'Novel Fiksi', 'Perlengkapan Seni/Kreatif'}","{'Marketplace (Shopee, Tokopedia, dll.)'}",{'Untuk mengekspresikan kreativitas'},{'Travelling'},"{'Mainan', 'Kesehatan dan Kecantikan', 'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Netral'},{'Netral'},{'Setuju'},{'Tidak Setuju'},1
"{'Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)', 'Alat Olahraga'}",{'Toko alat tulis lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)'}",{'Bermain musik'},"{'Kesehatan dan Kecantikan', 'Alat Olahraga'}",{'Sangat Tidak Setuju'},{'Netral'},{'Setuju'},{'Sangat Tidak Setuju'},1
"{'Alat Musik', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)'}",{'Aplikasi Gramedia.com'},{'Hiburan atau relaksasi'},"{'Olahraga', 'Membaca buku atau majalah'}",{'Alat Musik & kesenian'},{'Setuju'},{'Setuju'},{'Setuju'},{'Tidak Setuju'},2
{'Alat Olahraga'},{'Toko Gramedia'},"{'Hiburan atau relaksasi', 'Menambah pengetahuan'}","{'Bermain game (offline/online)', 'Menulis (diari, blog, atau lainnya)'}","{'Buku non-fiksi (pengembangan diri, sejarah, agama)'}",{'Netral'},{'Setuju'},{'Sangat Setuju'},{'Netral'},2
{'Jurnal/Perencana (Planner)'},{'Aplikasi Gramedia Digital (ebook)'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri""}",{'Bermain musik'},"{'Buku fiksi (novel, komik, buku anak)'}",{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Sangat Setuju'},{'Tidak Setuju'},3
{'Perlengkapan Seni/Kreatif'},"{'Marketplace (Shopee, Tokopedia, dll.)'}","{'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas', 'Kado atau hadiah'}","{'Menghadiri acara budaya atau edukasi', 'Melukis atau menggambar'}","{'Alat Musik & kesenian', 'Buku fiksi (novel, komik, buku anak)'}",{'Tidak Setuju'},{'Setuju'},{'Netral'},{'Setuju'},0
"{'Novel Fiksi', 'Perlengkapan Kantor atau Sekolah', 'Alat Tulis Umum (Kantor/Sekolah)'}",{'Toko Gramedia'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Hiburan atau relaksasi', 'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)'}",{'Menghadiri acara budaya atau edukasi'},"{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Alat Musik & kesenian', 'Kesehatan dan Kecantikan'}",{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Netral'},{'Setuju'},3
"{'Mainan/Collectible item', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)'}",{'Aplikasi Gramedia Digital (ebook)'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri"", 'Kado atau hadiah'}","{'Bermain game (offline/online)', 'Membaca buku atau majalah', 'Olahraga'}","{'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Buku fiksi (novel, komik, buku anak)'}",{'Setuju'},{'Netral'},{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},0
"{'Novel Fiksi', 'Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)', 'Alat Musik'}",{'Toko buku independen lainnya'},{'Kado atau hadiah'},"{'Melukis atau menggambar', 'Belanja online/offline', 'Olahraga'}",{'Alat Olahraga'},{'Sangat Setuju'},{'Sangat Setuju'},{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},1
{'Perlengkapan Seni/Kreatif'},{'Toko Gramedia'},"{'Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)', 'Untuk mengekspresikan kreativitas'}","{'Bermain musik', 'Membaca buku atau majalah', 'Olahraga'}","{'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Tidak Setuju'},{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},{'Tidak Setuju'},2
{'Komik/Novel Grafis'},{'Toko buku independen lainnya'},"{'Menambah pengetahuan', 'Untuk mengekspresikan kreativitas'}","{'Bermain musik', 'Olahraga'}","{'Alat Tulis kantor atau sekolah', 'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Sangat Tidak Setuju'},{'Netral'},{'Setuju'},{'Sangat Setuju'},1
"{'Jurnal/Perencana (Planner)', 'Alat Olahraga'}",{'Website Gramedia.com'},{'Kado atau hadiah'},"{'Travelling', 'Menulis (diari, blog, atau lainnya)'}","{'Alat Tulis kantor atau sekolah', 'Kesehatan dan Kecantikan'}",{'Sangat Tidak Setuju'},{'Setuju'},{'Netral'},{'Sangat Setuju'},3
"{'Jurnal/Perencana (Planner)', 'Buku Anak', 'Alat Olahraga'}",{'Toko buku independen lainnya'},"{'Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)', 'Untuk mengekspresikan kreativitas'}",{'Menghadiri acara budaya atau edukasi'},"{'Alat Musik & kesenian', 'Buku Edukasi (Buku Teks, Latihan Soal, Kamus)'}",{'Setuju'},{'Tidak Setuju'},{'Setuju'},{'Sangat Tidak Setuju'},0
"{'Buku Anak', 'Komik/Novel Grafis', 'Alat Olahraga'}",{'Toko buku independen lainnya'},{'Kado atau hadiah'},"{'Bermain game (offline/online)', 'Menghadiri acara budaya atau edukasi'}",{'Alat Olahraga'},{'Sangat Setuju'},{'Netral'},{'Sangat Tidak Setuju'},{'Sangat Tidak Setuju'},1
{'Novel Fiksi'},{'Aplikasi Gramedia.com'},"{""Sebagai bentuk 'self-reward' atau apresiasi diri""}","{'Bermain game (offline/online)', 'Travelling'}","{'Mainan', 'Buku non-fiksi (pengembangan diri, sejarah, agama)', 'Alat Tulis kantor atau sekolah'}",{'Netral'},{'Sangat Setuju'},{'Setuju'},{'Sangat Tidak Setuju'},5
