Produk sering beli,Saluran belanja,Motivasi utama pembelian,Hobi
"Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)",Website Gramedia.com,"Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya), Olahraga, Bermain game (offline/online) = Aktivitas Rekreasional"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko Gramedia,Hiburan atau relaksasi,"Menulis (diari, blog, atau lainnya), Bermain game (offline/online) = Aktivitas Rekreasional, Belanja online/offline = Lifestyle"
Komik/Novel Grafis,Website Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Menghadiri acara budaya atau edukasi, Travelling"
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Aplikasi Gramedia Digital (ebook),Kado atau hadiah,Bermain musik
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Melukis atau menggambar = Seni, Belanja online/offline = Lifestyle, Bermain musik"
"Perlengkapan Seni/Kreatif, Jurnal/Perencana (Planner)",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah",Olahraga
"Alat Musik, Novel Fiksi",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Menghadiri acara budaya atau edukasi
Alat Musik,Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Olahraga, Bermain musik"
"Perlengkapan Kantor atau Sekolah, Novel Fiksi",Toko alat tulis lainnya,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Menulis (diari, blog, atau lainnya)"
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah), Novel Fiksi",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline = Lifestyle, Menulis (diari, blog, atau lainnya), Bermain game (offline/online) = Aktivitas Rekreasional"
"Buku Anak, Alat Musik",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Kado atau hadiah","Belanja online/offline = Lifestyle, Olahraga, Bermain game (offline/online) = Aktivitas Rekreasional"
"Jurnal/Perencana (Planner), Alat Olahraga",Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Belanja online/offline = Lifestyle
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah), Alat Olahraga",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online) = Aktivitas Rekreasional
"Alat Musik, Alat Tulis Umum (Kantor/Sekolah)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi","Menulis (diari, blog, atau lainnya), Travelling"
Alat Musik,Toko buku independen lainnya,Untuk mengekspresikan kreativitas,"Menghadiri acara budaya atau edukasi, Olahraga, Bermain musik"
"Mainan/Collectible item, Alat Olahraga",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah = Literasi, Menulis (diari, blog, atau lainnya), Belanja online/offline = Lifestyle"
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Membaca buku atau majalah = Literasi
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Sebagai bentuk 'self-reward' atau apresiasi diri",Melukis atau menggambar = Seni
"Novel Fiksi, Alat Musik, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Untuk mengekspresikan kreativitas","Travelling, Bermain game (offline/online) = Aktivitas Rekreasional"
"Mainan/Collectible item, Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Belanja online/offline = Lifestyle, Bermain musik"
"Alat Musik, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Toko Gramedia,"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Olahraga
Novel Fiksi,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Bermain game (offline/online) = Aktivitas Rekreasional, Menghadiri acara budaya atau edukasi"
"Alat Musik, Perlengkapan Seni/Kreatif",Aplikasi Gramedia.com,"Kado atau hadiah, Untuk mengekspresikan kreativitas","Olahraga, Menulis (diari, blog, atau lainnya), Bermain game (offline/online) = Aktivitas Rekreasional"
Alat Tulis Umum (Kantor/Sekolah),Toko Gramedia,Hiburan atau relaksasi,Travelling
"Perlengkapan Seni/Kreatif, Alat Musik",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar = Seni, Bermain game (offline/online) = Aktivitas Rekreasional"
"Alat Musik, Buku Anak",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Olahraga
Alat Tulis Umum (Kantor/Sekolah),Toko alat tulis lainnya,Kado atau hadiah,"Membaca buku atau majalah = Literasi, Travelling, Olahraga"
Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Olahraga, Menulis (diari, blog, atau lainnya), Menghadiri acara budaya atau edukasi"
"Novel Fiksi, Perlengkapan Seni/Kreatif, Komik/Novel Grafis",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Kado atau hadiah","Membaca buku atau majalah = Literasi, Bermain musik"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Mainan/Collectible item, Novel Fiksi",Toko alat tulis lainnya,"Hiburan atau relaksasi, Kado atau hadiah","Menghadiri acara budaya atau edukasi, Olahraga"
Komik/Novel Grafis,Toko alat tulis lainnya,"Menambah pengetahuan, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Travelling, Bermain musik"
Novel Fiksi,Aplikasi Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Travelling, Bermain musik"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis, Alat Olahraga",Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Melukis atau menggambar = Seni, Belanja online/offline = Lifestyle, Menulis (diari, blog, atau lainnya)"
"Mainan/Collectible item, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Travelling
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah), Buku Anak",Aplikasi Gramedia Digital (ebook),"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Menghadiri acara budaya atau edukasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Bermain game (offline/online) = Aktivitas Rekreasional
"Alat Olahraga, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Melukis atau menggambar = Seni, Travelling, Membaca buku atau majalah = Literasi"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri",Membaca buku atau majalah = Literasi
Buku Anak,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline = Lifestyle
"Mainan/Collectible item, Alat Musik, Alat Olahraga","Marketplace (Shopee, Tokopedia, dll.)","Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Melukis atau menggambar = Seni, Membaca buku atau majalah = Literasi"
"Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Perlengkapan Kantor atau Sekolah",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,Menghadiri acara budaya atau edukasi
"Mainan/Collectible item, Komik/Novel Grafis, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia.com,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri","Menghadiri acara budaya atau edukasi, Melukis atau menggambar = Seni"
"Buku Anak, Mainan/Collectible item, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Travelling, Menghadiri acara budaya atau edukasi"
Perlengkapan Kantor atau Sekolah,"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline = Lifestyle, Menghadiri acara budaya atau edukasi, Melukis atau menggambar = Seni"
Perlengkapan Seni/Kreatif,Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Melukis atau menggambar = Seni
"Alat Musik, Mainan/Collectible item, Perlengkapan Seni/Kreatif",Website Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Membaca buku atau majalah = Literasi, Belanja online/offline = Lifestyle"
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Bermain musik, Bermain game (offline/online) = Aktivitas Rekreasional, Travelling"
"Perlengkapan Seni/Kreatif, Novel Fiksi, Alat Musik",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Olahraga, Membaca buku atau majalah = Literasi, Belanja online/offline = Lifestyle"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Musik",Website Gramedia.com,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline = Lifestyle, Olahraga, Membaca buku atau majalah = Literasi"
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline = Lifestyle, Menulis (diari, blog, atau lainnya), Travelling"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Musik, Alat Olahraga",Aplikasi Gramedia.com,"Menambah pengetahuan, Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Travelling, Bermain game (offline/online) = Aktivitas Rekreasional, Bermain musik"
"Jurnal/Perencana (Planner), Mainan/Collectible item, Buku Anak",Aplikasi Gramedia.com,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya), Travelling, Belanja online/offline = Lifestyle"
"Jurnal/Perencana (Planner), Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Toko buku independen lainnya,Kado atau hadiah,"Menulis (diari, blog, atau lainnya), Bermain game (offline/online) = Aktivitas Rekreasional"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah",Toko buku independen lainnya,Hiburan atau relaksasi,"Membaca buku atau majalah = Literasi, Olahraga, Bermain game (offline/online) = Aktivitas Rekreasional"
"Perlengkapan Seni/Kreatif, Komik/Novel Grafis",Toko buku independen lainnya,"Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline = Lifestyle
Buku Anak,Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling, Belanja online/offline = Lifestyle"
"Komik/Novel Grafis, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Menghadiri acara budaya atau edukasi, Melukis atau menggambar = Seni"
"Perlengkapan Kantor atau Sekolah, Mainan/Collectible item, Alat Musik",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Bermain game (offline/online) = Aktivitas Rekreasional, Melukis atau menggambar = Seni"
"Novel Fiksi, Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas",Bermain game (offline/online) = Aktivitas Rekreasional
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Alat Tulis Umum (Kantor/Sekolah)",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Bermain game (offline/online) = Aktivitas Rekreasional, Membaca buku atau majalah = Literasi, Olahraga"
Perlengkapan Seni/Kreatif,Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri, Kado atau hadiah","Melukis atau menggambar = Seni, Membaca buku atau majalah = Literasi"
"Perlengkapan Seni/Kreatif, Buku Anak",Aplikasi Gramedia.com,"Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Bermain game (offline/online) = Aktivitas Rekreasional, Membaca buku atau majalah = Literasi, Melukis atau menggambar = Seni"
"Alat Olahraga, Buku Anak, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Melukis atau menggambar = Seni"
Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Menulis (diari, blog, atau lainnya), Bermain game (offline/online) = Aktivitas Rekreasional, Melukis atau menggambar = Seni"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Bermain game (offline/online) = Aktivitas Rekreasional
Alat Olahraga,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online) = Aktivitas Rekreasional, Membaca buku atau majalah = Literasi"
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Menulis (diari, blog, atau lainnya), Melukis atau menggambar = Seni, Bermain game (offline/online) = Aktivitas Rekreasional"
Alat Olahraga,"Marketplace (Shopee, Tokopedia, dll.)","Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi","Melukis atau menggambar = Seni, Belanja online/offline = Lifestyle, Travelling"
"Mainan/Collectible item, Alat Tulis Umum (Kantor/Sekolah)",Website Gramedia.com,Kado atau hadiah,Bermain game (offline/online) = Aktivitas Rekreasional
"Novel Fiksi, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)","Marketplace (Shopee, Tokopedia, dll.)",Menambah pengetahuan,"Bermain musik, Belanja online/offline = Lifestyle, Menulis (diari, blog, atau lainnya)"
"Komik/Novel Grafis, Alat Musik","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Membaca buku atau majalah = Literasi, Olahraga, Travelling"
"Komik/Novel Grafis, Buku Anak, Perlengkapan Kantor atau Sekolah",Website Gramedia.com,"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Menambah pengetahuan",Melukis atau menggambar = Seni
"Alat Tulis Umum (Kantor/Sekolah), Jurnal/Perencana (Planner)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Untuk mengekspresikan kreativitas","Menghadiri acara budaya atau edukasi, Travelling"
"Perlengkapan Seni/Kreatif, Alat Musik, Jurnal/Perencana (Planner)",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline = Lifestyle
"Perlengkapan Seni/Kreatif, Alat Tulis Umum (Kantor/Sekolah)","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Kado atau hadiah, Untuk mengekspresikan kreativitas","Melukis atau menggambar = Seni, Bermain musik, Bermain game (offline/online) = Aktivitas Rekreasional"
"Buku Anak, Alat Olahraga",Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Membaca buku atau majalah = Literasi, Travelling"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Kado atau hadiah","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah = Literasi"
"Komik/Novel Grafis, Perlengkapan Seni/Kreatif, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Sebagai bentuk 'self-reward' atau apresiasi diri, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)",Belanja online/offline = Lifestyle
"Jurnal/Perencana (Planner), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis",Toko buku independen lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Hiburan atau relaksasi, Kado atau hadiah","Belanja online/offline = Lifestyle, Bermain game (offline/online) = Aktivitas Rekreasional"
Alat Olahraga,Website Gramedia.com,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Travelling, Bermain musik"
"Buku Anak, Perlengkapan Kantor atau Sekolah",Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menghadiri acara budaya atau edukasi, Belanja online/offline = Lifestyle"
"Perlengkapan Kantor atau Sekolah, Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,"Melukis atau menggambar = Seni, Menghadiri acara budaya atau edukasi"
Buku Anak,Aplikasi Gramedia.com,"Untuk mengekspresikan kreativitas, Kado atau hadiah",Bermain game (offline/online) = Aktivitas Rekreasional
Perlengkapan Seni/Kreatif,Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,"Menghadiri acara budaya atau edukasi, Olahraga"
Buku Anak,Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Membaca buku atau majalah = Literasi, Menulis (diari, blog, atau lainnya), Bermain game (offline/online) = Aktivitas Rekreasional"
Alat Olahraga,Toko Gramedia,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Olahraga, Menghadiri acara budaya atau edukasi, Bermain game (offline/online) = Aktivitas Rekreasional"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Buku Anak, Novel Fiksi",Toko alat tulis lainnya,Untuk mengekspresikan kreativitas,"Bermain game (offline/online) = Aktivitas Rekreasional, Olahraga, Melukis atau menggambar = Seni"
Jurnal/Perencana (Planner),Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Bermain game (offline/online) = Aktivitas Rekreasional"
"Alat Olahraga, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko alat tulis lainnya,"Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor), Kado atau hadiah","Menghadiri acara budaya atau edukasi, Belanja online/offline = Lifestyle, Travelling"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Novel Fiksi",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Menambah pengetahuan","Bermain musik, Travelling, Bermain game (offline/online) = Aktivitas Rekreasional"
"Buku Anak, Alat Tulis Umum (Kantor/Sekolah), Mainan/Collectible item",Aplikasi Gramedia Digital (ebook),"Menambah pengetahuan, Untuk mengekspresikan kreativitas","Melukis atau menggambar = Seni, Olahraga"
"Perlengkapan Seni/Kreatif, Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Toko buku independen lainnya,"Kado atau hadiah, Sebagai bentuk 'self-reward' atau apresiasi diri, Menambah pengetahuan","Membaca buku atau majalah = Literasi, Travelling, Menghadiri acara budaya atau edukasi"
Buku Anak,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Kado atau hadiah",Membaca buku atau majalah = Literasi
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Alat Olahraga",Website Gramedia.com,Sebagai bentuk 'self-reward' atau apresiasi diri,"Menulis (diari, blog, atau lainnya), Travelling"
"Alat Tulis Umum (Kantor/Sekolah), Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Toko buku independen lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Belanja online/offline = Lifestyle, Olahraga, Menulis (diari, blog, atau lainnya)"
"Mainan/Collectible item, Alat Olahraga, Novel Fiksi",Aplikasi Gramedia.com,"Menambah pengetahuan, Hiburan atau relaksasi","Bermain game (offline/online) = Aktivitas Rekreasional, Travelling, Menulis (diari, blog, atau lainnya)"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)",Website Gramedia.com,Hiburan atau relaksasi,Membaca buku atau majalah = Literasi
"Buku Anak, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Komik/Novel Grafis",Aplikasi Gramedia.com,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Kado atau hadiah","Menulis (diari, blog, atau lainnya), Membaca buku atau majalah = Literasi, Bermain game (offline/online) = Aktivitas Rekreasional"
Jurnal/Perencana (Planner),Toko buku independen lainnya,"Hiburan atau relaksasi, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain musik, Menulis (diari, blog, atau lainnya), Olahraga"
"Perlengkapan Kantor atau Sekolah, Alat Olahraga",Website Gramedia.com,"Hiburan atau relaksasi, Menambah pengetahuan, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Menulis (diari, blog, atau lainnya)"
"Komik/Novel Grafis, Jurnal/Perencana (Planner), Alat Musik",Toko buku independen lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi","Melukis atau menggambar = Seni, Menghadiri acara budaya atau edukasi, Olahraga"
"Alat Tulis Umum (Kantor/Sekolah), Buku Anak",Aplikasi Gramedia Digital (ebook),"Untuk mengekspresikan kreativitas, Menambah pengetahuan","Melukis atau menggambar = Seni, Menulis (diari, blog, atau lainnya), Olahraga"
"Alat Musik, Buku Anak, Perlengkapan Kantor atau Sekolah",Toko alat tulis lainnya,"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)",Bermain game (offline/online) = Aktivitas Rekreasional
"Novel Fiksi, Perlengkapan Kantor atau Sekolah, Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.)",Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri","Belanja online/offline = Lifestyle, Menulis (diari, blog, atau lainnya)"
Mainan/Collectible item,Toko Gramedia,"Sebagai bentuk 'self-reward' atau apresiasi diri, Hiburan atau relaksasi, Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya)","Belanja online/offline = Lifestyle, Bermain game (offline/online) = Aktivitas Rekreasional, Menghadiri acara budaya atau edukasi"
Buku Anak,Aplikasi Gramedia Digital (ebook),Hiburan atau relaksasi,"Olahraga, Bermain game (offline/online) = Aktivitas Rekreasional"
"Buku Non-Fiksi (Pengembangan Diri, Bisnis, dll.), Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus), Komik/Novel Grafis","Marketplace (Shopee, Tokopedia, dll.)","Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Untuk mengekspresikan kreativitas, Sebagai bentuk 'self-reward' atau apresiasi diri","Menulis (diari, blog, atau lainnya)"
Jurnal/Perencana (Planner),Aplikasi Gramedia Digital (ebook),"Mendukung hobi (misalnya, melukis, dekorasi, musik, lainnya), Sebagai bentuk 'self-reward' atau apresiasi diri","Membaca buku atau majalah = Literasi, Menghadiri acara budaya atau edukasi"
"Buku Pelajaran/Edukasi (Termasuk Latihan Soal, Kamus)","Marketplace (Shopee, Tokopedia, dll.)","Menambah pengetahuan, Sebagai bentuk 'self-reward' atau apresiasi diri","Olahraga, Membaca buku atau majalah = Literasi"
Alat Musik,Aplikasi Gramedia Digital (ebook),"Hiburan atau relaksasi, Untuk mengekspresikan kreativitas, Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Bermain game (offline/online) = Aktivitas Rekreasional, Melukis atau menggambar = Seni"
"Alat Olahraga, Perlengkapan Kantor atau Sekolah","Marketplace (Shopee, Tokopedia, dll.)","Kebutuhan pekerjaan/sekolah (alat tulis, perlengkapan kantor)","Menulis (diari, blog, atau lainnya), Belanja online/offline = Lifestyle"
"Buku Anak, Novel Fiksi","Marketplace (Shopee, Tokopedia, dll.)","Hiburan atau relaksasi, Menambah pengetahuan, Untuk mengekspresikan kreativitas",Menghadiri acara budaya atau edukasi
Buku Anak,Toko alat tulis lainnya,"Untuk mengekspresikan kreativitas, Hiburan atau relaksasi, Sebagai bentuk 'self-reward' atau apresiasi diri",Belanja online/offline = Lifestyle
